scenario_id,mc_run_mean,mae_rt_sCFR_mean,mciw_rt_sCFR_mean,mcic_rt_sCFR_mean,mae_rcf_sCFR_mean,mciw_rcf_sCFR_mean,mcic_rcf_sCFR_mean,mae_rt_cCFR_cumulative_mean,mciw_rt_cCFR_cumulative_mean,mcic_rt_cCFR_cumulative_mean,mae_rt_aCFR_cumulative_mean,mciw_rt_aCFR_cumulative_mean,mcic_rt_aCFR_cumulative_mean,mae_rt_its_mean,mciw_rt_its_mean,mcic_rt_its_mean,mae_rcf_its_mean,mciw_rcf_its_mean,mcic_rcf_its_mean,bias_beta_abs_1_sCFR_mean,width_beta_abs_1_sCFR_mean,cover_beta_abs_1_sCFR_mean,bias_lambda_1_sCFR_mean,width_lambda_1_sCFR_mean,cover_lambda_1_sCFR_mean,bias_beta_abs_1_its_mean,width_beta_abs_1_its_mean,cover_beta_abs_1_its_mean,bias_lambda_1_its_mean,width_lambda_1_its_mean,cover_lambda_1_its_mean,bias_beta_abs_2_sCFR_mean,width_beta_abs_2_sCFR_mean,cover_beta_abs_2_sCFR_mean,bias_lambda_2_sCFR_mean,width_lambda_2_sCFR_mean,cover_lambda_2_sCFR_mean,bias_beta_abs_2_its_mean,width_beta_abs_2_its_mean,cover_beta_abs_2_its_mean,bias_lambda_2_its_mean,width_lambda_2_its_mean,cover_lambda_2_its_mean,mc_run_std,mae_rt_sCFR_std,mciw_rt_sCFR_std,mcic_rt_sCFR_std,mae_rcf_sCFR_std,mciw_rcf_sCFR_std,mcic_rcf_sCFR_std,mae_rt_cCFR_cumulative_std,mciw_rt_cCFR_cumulative_std,mcic_rt_cCFR_cumulative_std,mae_rt_aCFR_cumulative_std,mciw_rt_aCFR_cumulative_std,mcic_rt_aCFR_cumulative_std,mae_rt_its_std,mciw_rt_its_std,mcic_rt_its_std,mae_rcf_its_std,mciw_rcf_its_std,mcic_rcf_its_std,bias_beta_abs_1_sCFR_std,width_beta_abs_1_sCFR_std,cover_beta_abs_1_sCFR_std,bias_lambda_1_sCFR_std,width_lambda_1_sCFR_std,cover_lambda_1_sCFR_std,bias_beta_abs_1_its_std,width_beta_abs_1_its_std,cover_beta_abs_1_its_std,bias_lambda_1_its_std,width_lambda_1_its_std,cover_lambda_1_its_std,bias_beta_abs_2_sCFR_std,width_beta_abs_2_sCFR_std,cover_beta_abs_2_sCFR_std,bias_lambda_2_sCFR_std,width_lambda_2_sCFR_std,cover_lambda_2_sCFR_std,bias_beta_abs_2_its_std,width_beta_abs_2_its_std,cover_beta_abs_2_its_std,bias_lambda_2_its_std,width_lambda_2_its_std,cover_lambda_2_its_std
S01,5.5,0.0003247437343816273,0.0018463887743302618,0.9935,0.0003247437343816273,0.0018463887743302618,0.9935,0.005172699446620419,0.00066718040439645,0.0,0.0004306241349307827,0.001885976003379313,0.9629999999999999,0.00032689448031489706,0.0009646488450943807,0.721,0.00032689448031489706,0.0009646488450943807,0.721,,,,,,,,,,,,,,,,,,,,,,,,,3.0276503540974917,7.337482699083454e-05,4.293800141227202e-05,0.013753787357185191,7.337482699083454e-05,4.293800141227202e-05,0.013753787357185191,0.00011805992093982599,3.6187714789599095e-06,0.0,7.278339745244351e-05,0.00027494424598957257,0.0927721222494488,0.0002711607704428526,0.0006054491346183225,0.399185281403121,0.0002711607704428526,0.0006054491346183225,0.399185281403121,,,,,,,,,,,,,,,,,,,,,,,,
S02,5.5,0.0003421856643399224,0.0018096394941559991,0.9574999999999999,0.001154552141088061,0.005235308952035848,0.9620000000000001,0.00539808346220161,0.0006671714592214979,0.028999999999999998,0.001803544788109776,0.0019136189299229426,0.5,0.0006451814895524083,0.0012475033941485019,0.6125,0.001327437487767425,0.002197798886420667,0.46349999999999997,-0.05343713760375977,3.1634362521627906,1.0,-0.037335604429244995,3.372734008317347,1.0,-0.8849957526874578,0.1367520209913747,0.0,0.8191284969421652,0.004736033594023237,0.0,,,,,,,,,,,,,3.0276503540974917,0.00012053897870882967,4.497918350420815e-05,0.07517572007562605,0.0009425086579622899,0.0033412496420219874,0.06541321646952462,6.221632025721421e-05,8.768781657318898e-06,0.002108185106778919,0.0001238367120836352,0.0003855050706668352,0.015456030825826177,0.0005973907294082448,0.0007122778659737172,0.37698548454225067,0.0008635160254247472,0.001909306323699138,0.32854096649682313,0.284088426136555,0.4901147145456311,0.0,0.2751654718915351,0.6113129024536774,0.0,0.12015042270961268,0.12815097108000245,0.0,0.10972167626847161,0.006747324022463502,0.0,,,,,,,,,,,,
S03,5.5,0.000384637137176469,0.0018098609014879912,0.9324999999999999,0.0009254005330149084,0.008094325061852578,0.9655000000000001,0.004648458540145286,0.0006662792258821567,0.0325,0.0017589221573743982,0.0020869170921372845,0.34550000000000003,0.0005295800867773211,0.001322499319131679,0.7325,0.0016731413013630705,0.0020636374569432923,0.4755,-0.0792463481426239,3.222320258892141,1.0,-0.08843382000923157,3.213623158233239,1.0,-0.9371614911967912,0.10730422993082656,0.0,1.3044752355770408,0.0004223996590559054,0.0,-0.14697349667549134,3.1002311839559105,1.0,-0.10617263913154602,3.2716324780718415,1.0,-0.9748343506505612,0.0693224684592127,0.0,0.010168685679461952,0.0020899060454176886,0.0,3.0276503540974917,0.00013286519201325132,4.585775239680172e-05,0.0879788484681277,0.0003450045826402826,0.0021857222636198098,0.05272833941798069,5.378186804653202e-05,7.0789755714455875e-06,0.0026352313834736517,9.689085613471209e-05,0.0004627256017282092,0.018020050561033996,0.000358996017310578,0.00024365140400660324,0.19610442229701106,0.0005630580849144343,0.000633010313295056,0.13223400974535005,0.12827948749973883,0.44789910176543224,0.0,0.11541141325707172,0.30677491431189424,0.0,0.06986441636120472,0.04510556370121159,0.0,0.17228225506574227,0.0004718688432698442,0.0,0.1292012506552369,0.39243659072628734,0.0,0.14905636193980734,0.4434038718456335,0.0,0.0495990743547873,0.05299619592212169,0.0,0.20729983119102938,0.0043758693990887205,0.0
S04,5.5,0.00039399694360326977,0.0017959709562011994,0.9195,0.00039399694360326977,0.0017959709562011994,0.9195,0.0077892942035859905,0.0007588912478629838,0.025500000000000002,0.005630081094313759,0.0024394665700300956,0.119,0.00048316937647862126,0.0012723471868947935,0.7945,0.00048316937647862126,0.0012723471868947935,0.7945,,,,,,,,,,,,,,,,,,,,,,,,,3.0276503540974917,6.903713840351823e-05,2.232263408361286e-05,0.060756801173933526,6.903713840351823e-05,2.232263408361286e-05,0.060756801173933526,9.747330048348283e-05,6.969116186524001e-06,0.0028382310609877327,0.00018838812074878396,0.0004855538771572845,0.03169297153067923,0.0004041109720431184,0.00019780124497461346,0.23228873316533358,0.0004041109720431184,0.00019780124497461346,0.23228873316533358,,,,,,,,,,,,,,,,,,,,,,,,
S05,5.5,0.00033972673409152774,0.001800711615709588,0.977,0.0013812345307087526,0.00719534757202491,0.9935,0.008735672150131405,0.0007606596346636388,0.0245,0.006585779366062583,0.002379776852206685,0.10500000000000001,0.0011894632517124091,0.001787514434502376,0.5690000000000001,0.0024418465483176913,0.0036072574481541865,0.40499999999999997,0.20785825252532958,3.45791678312933,1.0,0.1257856845855713,3.456688191166612,1.0,-0.7387008878468407,0.2537499733072668,0.0,0.8579869142918367,0.010210982180774274,0.0,,,,,,,,,,,,,3.0276503540974917,5.6044044459644625e-05,9.09350242028238e-05,0.04328202090167848,0.0019081376879014106,0.007592083350496781,0.01599479081868013,7.260733776290421e-05,5.569259131016623e-06,0.003689323936863109,0.00024116923537049158,0.0004752389441637099,0.03282952600598702,0.0009247896939746919,0.0007722040088928048,0.3414657946103663,0.001611898155580294,0.0024170324828746907,0.20812656405818714,0.5277793656710846,0.8788981034978011,0.0,0.3720671060575998,0.6553345519613294,0.0,0.2536578206593119,0.19812756582883717,0.0,0.17919539012133687,0.007170958313017915,0.0,,,,,,,,,,,,
S06,5.5,0.00040671000169822946,0.0016838841841090469,0.9105000000000001,0.005155315983574838,0.008780788587496497,0.8855000000000001,0.008670584966401324,0.0007636096685113686,0.0195,0.006754715953454965,0.0027184328401301736,0.11200000000000002,0.0004889108539763409,0.0013231896813191047,0.7075,0.0013044286684942882,0.002116166156094901,0.534,0.5005250096321106,2.930982089838944,0.9,0.22039870023727418,3.2435661388328283,0.9,-0.9368043914504204,0.12171117121635458,0.0,1.4782412373567173,0.00536177219282572,0.0,-0.06238200068473816,2.696572964757215,0.9,0.31797425746917723,3.0534390591690315,0.9,-0.9716176267225063,0.09319495136177045,0.0,-0.17444209067690405,0.03719742102599257,0.1,3.0276503540974917,0.00015559650610196636,0.0003608448942865996,0.1832037420772597,0.010471552121792311,0.006139044910830816,0.3055636867604962,6.762996475459217e-05,6.4015669581632195e-06,0.0028382310609877345,0.0002221453755273446,0.00045465551909603687,0.02540778533354601,0.0002546084955701539,0.0004449095055116617,0.28466598360573786,0.00039304772203953406,0.0011889943519906151,0.301475998676143,1.3706064905776327,0.9039613972889152,0.31622776601683794,0.6050204254629534,1.2942173589646928,0.31622776601683794,0.05222425568926799,0.08515765760704512,0.0,0.2383043754199843,0.011421736775394856,0.0,0.19091564684184556,0.9179469326438401,0.31622776601683794,1.3651263123819934,0.7035795190730012,0.31622776601683794,0.06613898693570441,0.10845782980808144,0.0,0.0984801336191685,0.0950881873210058,0.31622776601683794
S07,5.5,0.0003345067976624705,0.0017851935822400266,0.9814999999999999,0.0003345067976624705,0.0017851935822400266,0.9814999999999999,0.009923390813790643,0.000736650182726212,0.0095,0.006955218344898107,0.0022059834128919315,0.088,0.0006395258314881391,0.0013453742491583603,0.662,0.0006395258314881391,0.0013453742491583603,0.662,,,,,,,,,,,,,,,,,,,,,,,,,3.0276503540974917,7.86210977180121e-05,2.08899922524905e-05,0.04041795530591707,7.86210977180121e-05,2.08899922524905e-05,0.04041795530591707,7.099068372885883e-05,6.425779555130744e-06,0.00158113883008419,0.00017653050242574466,0.0004928615591884267,0.015129074290546957,0.00044188108442862526,0.00017985856684466707,0.3259618246223185,0.00044188108442862526,0.00017985856684466707,0.3259618246223185,,,,,,,,,,,,,,,,,,,,,,,,
S08,5.5,0.00038099722587503493,0.0017913628748967314,0.9414999999999999,0.0010291897400747986,0.005141520704259164,0.9465,0.010960226553900648,0.0007352941730553336,0.0095,0.007990763859075772,0.0020590602351700155,0.0745,0.0008474692936688623,0.0015440144020016221,0.633,0.002750764423597992,0.002797427934517227,0.617,0.1257239282131195,3.4001926622213787,1.0,0.10029897689819336,3.798240935029461,1.0,-0.7532729889809422,0.19326358264074525,0.2,0.8008946538491448,0.031558194482432,0.0,,,,,,,,,,,,,3.0276503540974917,5.8330253234861444e-05,6.26955099091376e-05,0.06868001488383968,0.0005410627877500341,0.002242320978200874,0.09204618405995982,7.741030139957266e-05,7.518687226663433e-06,0.00158113883008419,0.00015695743684634439,0.00042680755288501367,0.017551511489201026,0.0008574798656442833,0.000264051533053276,0.2973045576509045,0.0037956594907928,0.0016883892038433847,0.2864650453759101,0.45706349298743437,0.7865781497184525,0.0,0.36975228281327277,1.2524773415811616,0.0,0.41068057066513797,0.09751888917974035,0.4216370213557839,0.34266079259900456,0.06406455798240739,0.0,,,,,,,,,,,,
S09,5.5,0.0003977082858909853,0.0017962925015599467,0.922,0.0010835963214049116,0.0066522764840570734,0.9635,0.010785012682224001,0.000736937622492092,0.01,0.008081462278058954,0.0022761082693601876,0.074,0.0004481176613561716,0.0014956482182653824,0.766,0.0012889979350640386,0.0025360247630608537,0.5900000000000001,-0.07308223247528076,3.0622099498845627,1.0,-0.060026532411575316,3.186243376692291,1.0,-0.937531450220189,0.15678880974048043,0.0,1.7074172389738274,0.014061311341390038,0.0,-0.11138861179351807,3.110851108734495,1.0,-0.08875813484191894,3.2443810373917215,1.0,-0.9000581498334708,0.2460754692557782,0.1,-0.06323590294565062,0.0840620369338642,0.0,3.0276503540974917,0.00010441234891394873,3.151785271795171e-05,0.08377217782639874,0.0007970266142854568,0.0032581342308133235,0.04564658926043777,5.809103530501667e-05,7.659897554688839e-06,0.0,0.00013807581144737116,0.00042681944284603143,0.020110804171997808,0.00013586107395481333,0.00031706220350190435,0.1829511167255098,0.0005076229256735096,0.0009968388553057293,0.15862254288439306,0.22208960333330663,0.4618208306892477,0.0,0.2081085439061798,0.4879422228685478,0.0,0.04817413614074619,0.05318657483510084,0.0,0.6193856277658019,0.02625973293887096,0.0,0.13410524024623263,0.3182920069965084,0.0,0.1519602747481758,0.5365910863286852,0.0,0.3087988180639877,0.475315093965538,0.31622776601683794,0.4388433801403441,0.1716347505856715,0.0
S10,5.5,0.0003923305921489373,0.002057520264422055,0.9435,0.0003923305921489373,0.002057520264422055,0.9435,0.016282001292181117,0.0007060001357661725,0.005,0.0128015743341173,0.001623203744147141,0.05900000000000001,0.0008579222247391235,0.0017201709651330753,0.6285000000000001,0.0008579222247391235,0.0017201709651330753,0.6285000000000001,,,,,,,,,,,,,,,,,,,,,,,,,3.0276503540974917,9.665992651781426e-05,3.2325735618619356e-05,0.07059469605509403,9.665992651781426e-05,3.2325735618619356e-05,0.07059469605509403,8.2288185337213e-05,8.778974576508068e-06,0.0,0.00012739505110132842,0.00038266643549518666,0.0161245154965971,0.0006198758148547946,0.0004631251741112094,0.245187569922385,0.0006198758148547946,0.0004631251741112094,0.245187569922385,,,,,,,,,,,,,,,,,,,,,,,,
