scenario_id,mc_run,error,mae_rt_sCFR,mciw_rt_sCFR,mcic_rt_sCFR,mae_rcf_sCFR,mciw_rcf_sCFR,mcic_rcf_sCFR,mae_rt_cCFR_cumulative,mciw_rt_cCFR_cumulative,mcic_rt_cCFR_cumulative,mae_rt_aCFR_cumulative,mciw_rt_aCFR_cumulative,mcic_rt_aCFR_cumulative,mae_rt_its,mciw_rt_its,mcic_rt_its,mae_rcf_its,mciw_rcf_its,mcic_rcf_its,bias_beta_abs_1_sCFR,width_beta_abs_1_sCFR,cover_beta_abs_1_sCFR,bias_lambda_1_sCFR,width_lambda_1_sCFR,cover_lambda_1_sCFR,bias_beta_abs_1_its,width_beta_abs_1_its,cover_beta_abs_1_its,bias_lambda_1_its,width_lambda_1_its,cover_lambda_1_its,bias_beta_abs_2_sCFR,width_beta_abs_2_sCFR,cover_beta_abs_2_sCFR,bias_lambda_2_sCFR,width_lambda_2_sCFR,cover_lambda_2_sCFR,bias_beta_abs_2_its,width_beta_abs_2_its,cover_beta_abs_2_its,bias_lambda_2_its,width_lambda_2_its,cover_lambda_2_its
S01,1,None,0.0017826217226684093,0.0035327245277585457,0.59,0.0017826217226684093,0.0035327245277585457,0.59,0.005510055549254441,0.0006708958566188544,0.03,0.0022699721269612456,0.0027268271326947547,0.18,0.0017592408634899556,0.0016230004211147825,0.265,0.0017592408634899556,0.0016230004211147825,0.265,,,,,,,,,,,,,,,,,,,,,,,,
S01,2,None,0.001700272667221725,0.02053875665564555,1.0,0.001700272667221725,0.02053875665564555,1.0,0.005598893564205885,0.0006627601984114071,0.035,0.001961857543961722,0.0014889120007438356,0.24,0.001757943459854695,0.0010075092786996124,0.175,0.001757943459854695,0.0010075092786996124,0.175,,,,,,,,,,,,,,,,,,,,,,,,
S02,1,None,0.0015022401930764318,0.008127318917890078,0.96,0.0016984102549031377,0.021956640920194326,0.99,0.005914164326087474,0.0006782698160625591,0.03,0.003180420709117462,0.002538624905982821,0.135,0.0014166432603488833,0.001273807696830568,0.305,0.003261545347570588,0.0014584839774004616,0.16,-2.264056921005249,15.227773550848346,True,0.7122667551040649,3.3546009841375053,True,-4.997847894597089,0.07106577139881615,False,1.3560003669323704,0.003540905919539261,False,,,,,,,,,,,,
S02,2,None,0.001335521461442113,0.008476506702718323,0.985,0.0022193402983248234,0.009546889864490366,0.895,0.006158893874016381,0.0006645976799797474,0.02,0.0029941902037249877,0.0017425251164575827,0.225,0.001263090735682229,0.0010977838714431387,0.265,0.0027983562541175205,0.0013026161851599348,0.16,-3.617173433303833,4.411465802813205,False,0.43233163356781007,2.4627065787091835,True,-4.955631267861332,0.0820269116768843,False,1.1940822401505715,0.001024417242013076,False,,,,,,,,,,,,
S03,1,None,0.0013557974016293883,0.0041094298101961605,0.775,0.0027907979674637318,0.007398566998424939,0.775,0.005713320604606327,0.0006651198198611255,0.02,0.0032839609464233943,0.0017260908238420785,0.165,0.0013556991903124374,0.0018923399236311083,0.415,0.0038575329203003905,0.004410259905245734,0.365,-1.3390071392059326,12.362345339206513,True,0.6035223126411438,3.081040850467979,True,-4.997044941827011,0.23541409196704818,False,1.8387764674250937,0.13338803175364689,False,-2.106011927127838,4.248712672421967,True,0.44750596284866334,3.1997969145886596,True,-2.9935403987567653,0.3302131662949491,False,0.6747846047217134,0.9298737593899027,True
S03,2,None,0.0013920179335400462,0.010155331891961394,0.995,0.02070872113108635,0.06640731244487687,1.0,0.005775310450494436,0.0006722503814488431,0.04,0.0033006859599156433,0.0017917932244816055,0.175,0.00189347439639354,0.0012208926543143602,0.19,0.0020272090254726516,0.0017429371162413373,0.275,0.6514701843261719,25.33770314306019,True,1.0575494289398193,3.874149843119085,True,-4.754823166880141,0.08750580245834155,False,2.9626449937872685,0.0002532051752286435,False,-0.7174348831176758,6.644041076380381,True,0.4365591526031494,2.4629450676497067,True,-3.0,0.004647636855994477,False,0.546012314486694,9.113527455217874e-05,False
S04,1,None,0.0015181316994130611,0.004397169310192111,0.735,0.0015181316994130611,0.004397169310192111,0.735,0.007890927317457566,0.0007506344474291879,0.015,0.005510631477805942,0.001998194728463967,0.135,0.001494225958675418,0.0015836075214018563,0.285,0.001494225958675418,0.0015836075214018563,0.285,,,,,,,,,,,,,,,,,,,,,,,,
S04,2,None,0.001630235929042101,0.010325402327056506,0.99,0.001630235929042101,0.010325402327056506,0.99,0.008133378844331096,0.0007725121514635795,0.01,0.0062499288354450145,0.0022195335861371008,0.105,0.0016167836910505329,0.0011880013376330929,0.26,0.0016167836910505329,0.0011880013376330929,0.26,,,,,,,,,,,,,,,,,,,,,,,,
S05,1,None,0.001435819547623396,0.00626334204757586,0.955,0.001730168703943491,0.009051403960969763,0.96,0.009570768202891659,0.0007611714485531714,0.025,0.007428407100363653,0.0019537953574110035,0.11,0.0014892164637078187,0.0013022755840685998,0.27,0.002548481578188207,0.0016513617715495903,0.145,-3.431300163269043,6.631308535188872,True,0.6582417607307434,3.103414077591151,True,-4.989372861819176,0.11615411183573449,False,1.322392262621245,0.009387587873854741,False,,,,,,,,,,,,
S05,2,None,0.0014973272336646914,0.010801996127265736,0.995,0.0018819981487467885,0.012707876925938761,0.985,0.009574859622274935,0.0007605553295555534,0.015,0.00734022569259699,0.0020391839247623634,0.14,0.0016835936680940466,0.0014621419783762129,0.245,0.002244725447122256,0.0019870694157348625,0.245,-3.5829774141311646,5.910322132181908,True,0.7283695459365844,3.435874987579882,True,-4.9329786713865476,0.16132009305847894,False,1.2565869041334168,0.03634276168349415,False,,,,,,,,,,,,
S06,1,None,0.0013979269424453378,0.009623826946073675,0.99,0.0025555468164384365,0.012147415062587241,0.97,0.009673179412398644,0.0007564867564852498,0.03,0.008000212313021303,0.0017385565127995917,0.11,0.0013870720969150598,0.0007201429694937079,0.19,0.002683180124986463,0.0004442182365437426,0.055,-3.820325255393982,5.904370367016235,True,0.6227850437164306,3.580427799699828,True,-4.900346110578942,0.03416999397901503,False,3.546601046932092,5.16888609247701e-06,False,-1.8107624053955078,5.182505661909445,True,0.4829692363739014,3.1592652620514845,True,-2.9999978672016514,0.033900922209559495,False,0.6349092788944186,3.067677872947705e-06,False
